image_url_1,category,style,colors,gender,pattern,occasion,accessory_type,more_attributes,bag_type,belt_type,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_width,heels_height,boots-shoe_type,shoe_material,bracelet_type,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,glasses_type,headwear_type,jumpsuit_length,necklet_type,neckwear_type,overclothes-sleeveless_type,poncho_type,sandals-shoe_type,shorts_type,slippers-shoe_type,sneakers_type,sportswear_type,sweatshirt_type,swimwear_type,tank_type,bottoms_type,barcode,brand
https://fotos.skm.be/article/479626/479626_01_61eda8bb90cff100106c4854.jpg,sweatpants,casual,blue; multicolor; pastel,male,marled,casual,,drawstring,,,,,,,,,,,,,,,,,,,mid-waist,3-4-long,,,oversized-bottoms,,,,,,,,,,,,,,,,,47962601030101,Joseph Ribkoff
https://fotos.skm.be/article/498487/498487_01_5927ba37-0eac-4150-a8c8-43b9940502a8.jpg,trousers_and_chinos,casual,black,female,plain,casual; dating; nightout; semi-formal,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,chinos,49848701020101,Part Two
https://fotos.skm.be/article/487269/487269_01_622a9569ae05b60011a21270.jpg,t-shirt,casual,bordeaux; white,male,brush-stroke,casual,,,,,cotton,regular-fit-tops,,short,,,,boat-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48726901050101,GERRY WEBER
https://fotos.skm.be/article/501212/501212_02_8057590973148---TA3073J657951315-I-AF-N-R-1-N.jpg,trousers_and_chinos,casual,canyon-rose; coral; multicolor,female,vertical-stripes,dating; nightout,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,wide-bottoms,,,,,,,,,,,,,,,,classic-trousers,50121202020101,Liu Jo Sport
https://fotos.skm.be/article/498825/498825_01_123-babe-217-0535-123-babe-217-0535-image_1-123-babe-217-0535_1.jpg,skirt,feminine,purple,female,plain,dating; nightout; semi-formal,,,,,,,,,,,,,,,,,,,,,high-waist,,a-line,maxi,,,,,,,,,,,,,,,,,,49882501040101,Julia June
https://fotos.skm.be/article/499096/499096_01_147762-243-MC_22.jpg,dress,feminine,green,female,plain,casual; dating,,buttons; pleated,,,cotton,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,49909601410101,Yoek
https://fotos.skm.be/article/482573/482573_01_6273ca8e30408b0012cda8f4.jpg,trousers_and_chinos,casual,lavander; multicolor; yellow,female,leaf; natural,casual; semi-formal,,,,,cotton,,,,,,,,,,,,,,,,high-waist,3-4-long,,,slim-bottoms,,,,,,,,,,,,,,,,classic-trousers,48257301080101,Doris Streich
https://fotos.skm.be/article/508890/508890_01_64785c08be819a0010a659e2.jpg,jeans,casual,ecru,female,plain,casual,,,,,,,,,,,,,,,,,,,,,mid-waist,3-4-long,,,slim-bottoms,,,,,,,,,,,,,,,,,50889001080101,Frapp
https://fotos.skm.be/article/500588/500588_01_63f2437174b81000118f1ae5.jpg,jacket,casual,ecru,female,plain,casual; summer,,,,,,regular-fit-tops,straight-sleeve,short,zipper-closure,,3-4-sleeve,,,,,,,,polo,everyday-overclothes,,,,,,,,,,,,,,,,,,,,,,50058801040101,Marc Cain Sports
https://fotos.skm.be/article/496159/496159_01_632c79a7e2e84d0010943852.jpg,dress,feminine,turquoise,female,chevron,dating,,pleated,,,knitted,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,49615901040101,Street One
https://fotos.skm.be/article/512686/512686_01_4545-10.jpg,trousers_and_chinos,casual,black,female,plain,casual,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,flare-bottoms,,,,,,,,,,,,,,,,classic-trousers,51268601040101,Caroline Biss
https://fotos.skm.be/article/496679/496679_01_62fa107832a85a0011ad5caa.jpg,polo-shirt,casual,blue; multicolor; pastel,male,horizontal-stripes,casual,,buttons,,,,regular-fit-tops,straight-sleeve,short,,,,,short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49667901050101,Rabe
https://fotos.skm.be/article/511617/511617_01_Hires-23163674-FNT.jpg,dress,feminine,black,female,stripes; vertical-stripes,dating; semi-formal,,pleated,,,,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,a-line,mini,,,,,,,,,,,,,,,,,,51161701030101,Scotch & Soda
https://fotos.skm.be/article/479612/479612_01_211905p-1-WEB.jpg,jacket,casual,blue,male,bleached,casual,,buttons; cargo,,,denim,regular-fit-tops,straight-sleeve,short,buttons-closure,,long-sleeve,,,,,,,,polo,denim-overclothes,,,,,,,,,,,,,,,,,,,,,,47961201020101,Joseph Ribkoff
https://fotos.skm.be/article/500623/500623_01_637b97bec708490011eb1b15.jpg,blouse,casual,blue,female,plain,dating; semi-formal,,keyhole,,,,regular-fit-tops,puff-sleeve,short,,,,round-v-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50062301040101,Marc Cain
https://fotos.skm.be/article/495274/495274_02_62975eab11e4f5001162c1e5.jpg,sweater,casual,brown,female,marled,home-lounge; winter,,embroidered,,,,oversized-tops,straight-sleeve,short,,,,v-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49527402080101,Frapp
https://fotos.skm.be/article/495269/495269_01_62de7933c77d8100110f338e.jpg,shirt,business,gray,male,,,,buttons,,,,oversized-tops,puff-sleeve,thigh-length,,,,polo,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49526901080101,Frapp
